lon,lat,varname,area,year,total,max,avg,min,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,region
-121.0,40.0, T2M ,2359,-999,75.1,21.69,18.78,15.61,,,,,,17.0,21.38,20.43,16.3,,,,WESTERN_USA
-121.0,42.0, T2M ,2288,-999,72.91,21.54,18.23,14.75,,,,,,16.02,21.08,20.25,15.56,,,,WESTERN_USA
-121.0,42.5, T2M ,2269,-999,63.38,19.15,15.84,12.38,,,,,,13.58,18.66,17.83,13.3,,,,WESTERN_USA
-121.0,47.0, T2M ,2098,-999,58.24,17.24,14.56,11.67,,,,,,12.75,16.52,16.46,12.51,,,,WESTERN_USA
-121.0,47.5, T2M ,2078,-999,48.96,14.76,12.24,9.49,,,,,,10.4,14.01,14.11,10.45,,,,WESTERN_USA
-120.5,34.5, T2M ,2539,-999,63.13,16.79,15.78,14.48,,,,,,14.5,15.79,16.28,16.57,,,,WESTERN_USA
-120.5,35.0, T2M ,2524,-999,68.81,18.22,17.2,15.86,,,,,,15.99,17.42,17.81,17.59,,,,WESTERN_USA
-120.5,37.5, T2M ,2444,-999,100.6,27.17,25.15,23.05,,,,,,24.13,26.89,26.12,23.46,,,,WESTERN_USA
-120.5,38.0, T2M ,2427,-999,90.12,24.67,22.53,20.26,,,,,,21.03,24.3,23.75,21.05,,,,WESTERN_USA
-120.5,38.5, T2M ,2410,-999,82.12,22.96,20.53,17.9,,,,,,18.75,22.51,21.96,18.9,,,,WESTERN_USA
-120.5,39.0, T2M ,2393,-999,72.22,20.64,18.06,15.25,,,,,,16.12,20.19,19.64,16.28,,,,WESTERN_USA
-120.5,39.5, T2M ,2376,-999,64.59,18.86,16.15,13.23,,,,,,14.23,18.44,17.76,14.15,,,,WESTERN_USA
-120.5,44.0, T2M ,2214,-999,68.28,20.47,17.07,13.5,,,,,,14.68,19.76,19.25,14.59,,,,WESTERN_USA
-120.5,47.5, T2M ,2078,-999,61.66,18.22,15.42,12.37,,,,,,13.69,17.56,17.38,13.02,,,,WESTERN_USA
-120.5,48.0, T2M ,2058,-999,53.36,16.07,13.34,10.41,,,,,,11.49,15.36,15.33,11.18,,,,WESTERN_USA
-120.5,48.5, T2M ,2038,-999,45.67,14.21,11.42,8.44,,,,,,9.51,13.5,13.42,9.23,,,,WESTERN_USA
-120.0,37.0, T2M ,2460,-999,105.08,28.56,26.27,23.87,,,,,,25.1,28.24,27.48,24.27,,,,WESTERN_USA
-120.0,37.5, T2M ,2444,-999,95.5,26.38,23.88,21.22,,,,,,22.04,25.9,25.39,22.16,,,,WESTERN_USA
-120.0,38.0, T2M ,2427,-999,75.02,21.38,18.75,15.95,,,,,,16.83,20.88,20.36,16.95,,,,WESTERN_USA
-120.0,38.5, T2M ,2410,-999,60.44,17.78,15.11,12.24,,,,,,13.22,17.37,16.7,13.14,,,,WESTERN_USA
-120.0,48.5, T2M ,2038,-999,59.68,17.98,14.92,11.55,,,,,,13.39,17.4,16.94,11.95,,,,WESTERN_USA
-119.5,36.0, T2M ,2492,-999,111.27,30.08,27.82,25.39,,,,,,26.44,29.73,29.17,25.93,,,,WESTERN_USA
-119.5,36.5, T2M ,2476,-999,106.49,28.94,26.62,24.16,,,,,,25.27,28.63,27.92,24.67,,,,WESTERN_USA
-119.5,37.0, T2M ,2460,-999,95.76,26.37,23.94,21.41,,,,,,22.29,25.95,25.39,22.13,,,,WESTERN_USA
-119.5,37.5, T2M ,2444,-999,65.51,19.0,16.38,13.57,,,,,,14.49,18.53,18.0,14.49,,,,WESTERN_USA
-119.5,43.5, T2M ,2233,-999,75.32,22.53,18.83,14.98,,,,,,16.55,21.96,21.06,15.76,,,,WESTERN_USA
-119.5,44.0, T2M ,2214,-999,63.31,19.28,15.83,12.22,,,,,,13.39,18.61,18.07,13.23,,,,WESTERN_USA
-119.5,44.5, T2M ,2195,-999,70.43,21.09,17.61,13.96,,,,,,15.19,20.38,19.87,14.98,,,,WESTERN_USA
-119.0,35.5, T2M ,2508,-999,107.79,29.37,26.95,24.36,,,,,,25.5,29.03,28.36,24.89,,,,WESTERN_USA
-119.0,36.0, T2M ,2492,-999,103.23,28.13,25.81,23.33,,,,,,24.15,27.75,27.29,24.03,,,,WESTERN_USA
-119.0,36.5, T2M ,2476,-999,92.29,25.5,23.07,20.47,,,,,,21.21,25.0,24.66,21.42,,,,WESTERN_USA
-119.0,37.0, T2M ,2460,-999,60.64,17.6,15.16,12.51,,,,,,13.36,17.16,16.7,13.42,,,,WESTERN_USA
-119.0,44.0, T2M ,2214,-999,62.51,19.1,15.63,12.01,,,,,,13.18,18.45,17.9,12.99,,,,WESTERN_USA
-119.0,44.5, T2M ,2195,-999,63.78,19.37,15.95,12.38,,,,,,13.5,18.65,18.21,13.42,,,,WESTERN_USA
-119.0,45.0, T2M ,2176,-999,62.96,19.04,15.74,12.31,,,,,,13.45,18.31,17.96,13.24,,,,WESTERN_USA
-119.0,48.0, T2M ,2058,-999,79.16,23.15,19.79,16.09,,,,,,18.2,22.54,21.93,16.49,,,,WESTERN_USA
-119.0,48.5, T2M ,2038,-999,63.99,19.24,16.0,12.48,,,,,,14.39,18.55,18.12,12.94,,,,WESTERN_USA
-118.5,36.0, T2M ,2492,-999,72.84,20.54,18.21,15.7,,,,,,16.56,20.13,19.67,16.49,,,,WESTERN_USA
-118.5,44.5, T2M ,2195,-999,60.31,18.5,15.08,11.47,,,,,,12.61,17.79,17.35,12.56,,,,WESTERN_USA
-118.5,45.0, T2M ,2176,-999,55.66,17.2,13.92,10.47,,,,,,11.54,16.45,16.1,11.57,,,,WESTERN_USA
-118.5,48.0, T2M ,2058,-999,77.04,22.59,19.26,15.66,,,,,,17.62,21.97,21.37,16.07,,,,WESTERN_USA
-118.5,48.5, T2M ,2038,-999,65.43,19.71,16.36,12.78,,,,,,14.57,18.94,18.58,13.33,,,,WESTERN_USA
-118.0,45.0, T2M ,2176,-999,59.93,18.31,14.98,11.5,,,,,,12.68,17.58,17.24,12.43,,,,WESTERN_USA
-118.0,45.5, T2M ,2157,-999,65.17,19.65,16.29,12.77,,,,,,14.0,18.9,18.58,13.69,,,,WESTERN_USA
-118.0,46.0, T2M ,2137,-999,67.68,20.19,16.92,13.51,,,,,,14.77,19.47,19.1,14.34,,,,WESTERN_USA
-118.0,48.0, T2M ,2058,-999,75.83,22.38,18.96,15.26,,,,,,17.31,21.74,21.12,15.66,,,,WESTERN_USA
-118.0,48.5, T2M ,2038,-999,71.66,21.31,17.91,14.24,,,,,,16.19,20.58,20.15,14.75,,,,WESTERN_USA
-117.5,45.0, T2M ,2176,-999,64.21,19.49,16.05,12.45,,,,,,13.74,18.8,18.36,13.3,,,,WESTERN_USA
-117.5,45.5, T2M ,2157,-999,58.21,18.0,14.55,10.95,,,,,,12.19,17.23,16.85,11.94,,,,WESTERN_USA
-117.5,47.5, T2M ,2078,-999,78.13,22.92,19.53,15.95,,,,,,17.72,22.29,21.73,16.4,,,,WESTERN_USA
-117.5,48.0, T2M ,2058,-999,75.69,22.34,18.92,15.24,,,,,,17.21,21.68,21.13,15.67,,,,WESTERN_USA
-117.5,48.5, T2M ,2038,-999,67.78,20.35,16.94,13.33,,,,,,15.16,19.58,19.2,13.84,,,,WESTERN_USA
