-114,44, MXCOHRTS ,2214,-111,1,1, WEST
-114,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-114,46, MXCOHRTS ,2137,-111,1,1, WEST
-114,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-114,47, MXCOHRTS ,2098,-111,1,1, WEST
-114,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-114,48, MXCOHRTS ,2058,-111,1,1, WEST
-114,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-113.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-113.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-113.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-113.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-113.5,47, MXCOHRTS ,2098,-111,1,1, WEST
-113.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-113.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-113,34.5, MXCOHRTS ,2539,-111,1,1, WEST
-113,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-113,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-113,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-113,46, MXCOHRTS ,2137,-111,1,1, WEST
-113,47, MXCOHRTS ,2098,-111,1,1, WEST
-113,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-112.5,34, MXCOHRTS ,2555,-111,1,1, WEST
-112.5,34.5, MXCOHRTS ,2539,-111,1,1, WEST
-112.5,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-112.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-112.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-112.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-112.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-112,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-112,34, MXCOHRTS ,2555,-111,1,1, WEST
-112,34.5, MXCOHRTS ,2539,-111,1,1, WEST
-112,35, MXCOHRTS ,2524,-111,1,1, WEST
-112,40, MXCOHRTS ,2359,-111,1,1, WEST
-112,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-112,41, MXCOHRTS ,2324,-111,1,1, WEST
-112,41.5, MXCOHRTS ,2306,-111,1,1, WEST
-112,45, MXCOHRTS ,2176,-111,1,1, WEST
-111.5,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-111.5,34, MXCOHRTS ,2555,-111,1,1, WEST
-111.5,34.5, MXCOHRTS ,2539,-111,1,1, WEST
-111.5,39, MXCOHRTS ,2393,-111,1,1, WEST
-111.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-111.5,40, MXCOHRTS ,2359,-111,1,1, WEST
-111.5,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-111.5,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-111.5,43, MXCOHRTS ,2251,-111,1,1, WEST
-111.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-111.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-111.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-111.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-111,31.5, MXCOHRTS ,2628,-111,1,1, WEST
-111,33, MXCOHRTS ,2585,-111,1,1, WEST
-111,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-111,34, MXCOHRTS ,2555,-111,1,1, WEST
-111,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-111,42, MXCOHRTS ,2288,-111,1,1, WEST
-111,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-111,43, MXCOHRTS ,2251,-111,1,1, WEST
-111,44, MXCOHRTS ,2214,-111,1,1, WEST
-111,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-111,45, MXCOHRTS ,2176,-111,1,1, WEST
-111,45.5, MXCOHRTS ,2157,-111,1,1, WEST
