-111.0000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-111.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-111.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-111.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-111.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-111.0000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-110.5000,32.5000, MXCOHRTS ,2599,-111,3,3, WEST
-110.5000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-110.5000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-110.5000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-110.5000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-110.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-110.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-110.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-110.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-110.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-110.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-110.0000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-110.0000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-110.0000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-110.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-110.0000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-110.0000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-110.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-110.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-110.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-109.5000,31.5000, MXCOHRTS ,2628,-111,3,3, WEST
-109.5000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-109.5000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-109.5000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
-109.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
